名称,簡単な説明,緯度,経度
浅草寺,雷門や仲見世通りが有名な都内最古の寺院,35.7147651,139.7966553
東京スカイツリー,高さ634mの展望タワー（東京ソラマチ併設）,35.7100627,139.8107004
上野恩賜公園,博物館や美術館が集まる文化的エリア,35.7147557,139.7734312
国立西洋美術館,世界遺産に登録された建築物,35.7153869,139.7758138
浅草花やしき,日本最古の遊園地,35.7154609,139.7948774
皇居外苑,二重橋や楠木正成像が佇む広大な緑地,35.680117,139.7583125
東京駅赤レンガ駅舎,レトロモダンな建築,35.6812996,139.7670658
日比谷公園,日本初の洋風公園（大噴水や季節の花壇）,35.6740123,139.7562635
お台場海浜公園,自由の女神像と夜景スポット,35.6300488,139.7756912
豊洲市場,寿司や海産物のグルメ拠点,35.6440911,139.784281
チームラボプラネッツ,没入型デジタルアート施設,35.6491207,139.7897739
明治神宮,都心のパワースポット（初詣参拝者数日本一）,35.6763976,139.6993259
渋谷スクランブル交差点,世界最大級の交差点,35.659482,139.7005596
表参道ヒルズ,高級ブランド店が並ぶ複合施設,35.6672869,139.7086162
東京タワー,333mの赤い鉄塔（夜景スポット）,35.6585805,139.7454329
六本木ヒルズ,森美術館や東京シティビュー展望台,35.6607397,139.7292319
国立新美術館,黒川紀章設計のアート施設,35.665289,139.726374
柴又帝釈天,映画『男はつらいよ』の舞台,35.75840609999999,139.8784378
江戸東京たてもの園,歴史的建造物を移築展示,35.7155722,139.5125434
神田明神,アニメ聖地としても人気の神社,35.7020186,139.7678943
新宿御苑,都会のオアシス（桜の名所）,35.68517629999999,139.7100517
小石川後楽園,回遊式庭園（国の特別史跡）,35.7056913,139.7492718
等々力渓谷,都心の渓谷散歩路,35.6051987,139.6456467
東京ディズニーリゾート,夢と魔法の王国（千葉県ですが定番）,35.6306579,139.8828695
サンシャイン水族館,空中に浮かぶ水槽が特徴,35.7289254,139.7201573
歌舞伎座,伝統芸能の殿堂,35.6693303,139.7677875
秋葉原電気街,オタク文化のメッカ,35.6996473,139.7713703
巣鴨地蔵通り商店街,「おばあちゃんの原宿」,35.7348647,139.7364525
高尾山,ミシュラン三つ星のハイキングスポット,35.6254126,139.2437385
三鷹の森ジブリ美術館,スタジオジブリの世界観を体験（要予約）,35.696238,139.5704317
